duration,text,hearts
313,LOVE YOU SIMON!!!!,0
313,UR THE BEST,0
314,,4
314,c u later Simon ,0
314,BYE SIMON,0
314,,1
315,NONSTOPPOP,0
315,BYEEEEEEE,0
315,WE LOVE YOU TOO,0
315,BYEEEEE,0
315,,1
316,bye,0
316,,1
316,OH NOOO,0
316,,4
316,,3
316,omggg,0
317,,4
317,,1
317,I hols my SOMON ILYYYYY,0
317,HECK,0
317,,2
317,thats it,0
318,,6
318,SEE YA LATER,0
319,sashaaaaay,0
319,no please dont leave me,0
319,Omgh no,0
319,OMGGGGG,0
319,FUCK,0
319,NOOOOOO,0
320,i am so dead,0
320,nooooooooooo,0
320,SIMON,0
320,catch ,0
320,,1
320,...............................,0
321,omggggggg,0
321,Nooo,0
321,COME BACK,0
322,NOOOOOOO,0
322,NOOOO,0
322,no,0
322,THATS IT,0
323,,1
323,BYE,0
323,Noooooo,0
323,Noooooo,0
323,Nooooo,0
323,BYEEEEEEE,0
323,COME BACK,0
323,no,0
324,:[,0
324,,1
324,no,0
325,omg i thought i wasnt gonna cry,0
325,FUCK,0
326,simon,0
326,AAAAAAAAAA IM CRYING,0
326,I LOVE YOU SIMON THANK YOU SO MUCH ,0
326,no,0
326,ILU ALLLL,0
327,,1
327,n000000,0
327,so sad,0
327,c u later,0
327,byeeeee,0
328,Nopooozi,0
328,i can't even right now,0
328,that was maaaaaad,0
329,,1
329,,1
329,,1
329,ily simon,0
330,,1
330,omg its over,0
330,COME BACK,0
330,wow rip 2017,0
330,byeeeeeeeeeee,0
330,;_;,0
330,SIMON2020,0
331,NONSTOPSTOP,0
331,BYEEEE FRENS,0
331,COME BACK SOON,0
331,THANKS FOR EVERYTHING,0
331,,1
331,WE LOVE U,0
331,TY SIMON,0
331,,6
331,I'm gonna freakin cry,0
331,,3
332,,0
332,,1
332,,1
332,best. radio jack. of all time.,0
332,it's over,0
333,DON'T B A STRANGER,0
333,,1
333,WHAT IS EVEN THE POINT IN ENGLAND ANYMORE SMH,0
334,,3
334,,0
334,I LOVE YOU ALL,0
334,respect ,0
334,oh gosh that was a really great show,0
334,dang,0
335,I AM CRY,0
335,no more jack,0
335,that was great,0
335,I need more nxc,0
336,WE LOVE U,0
336,i love you all i love you,0
336,good by jack hello the new thing,0
336,LOVE U FOREVER SIMON,0
337,"wait, is jack done for real?!?!",0
337,ily ,0
337,start 2017,0
337,Never 4get LA,0
337,SHOUTOUT TO NTS FOR BRINGING SIMON TO US,0
337,NON STOP POP,0
337,Everyone I love yall so so so much thanks for being in my life,0
337,THANK YOU,0
